word,frequency,length
everyone,147,8
assumed,77,7
marry,26,5
end,469,3
personnel,80,9
manager,122,7
studied,94,7
resource,16,8
management,120,10
college,283,7
joined,74,6
line,346,4
depends,55,7
active,101,6
role,119,4
prepared,123,8
play,224,4
chivvy,4,6
israel,20,6
along,411,5
respond,29,7
egyptian,11,8
proposals,33,9
wonder,83,6
passed,167,6
levels,80,6
daddy,9,5
crawled,26,7
cobbles,6,7
parliament,42,10
cry,64,3
goes,99,4
burn,23,4
representative,62,14
nature,204,6
r,149,1
projects,91,8
date,111,4
given,406,5
pert,9,4
plan,236,4
involve,49,7
distance,125,8
creation,58,8
photocopying,4,12
electrocopying,9,14
customised,2,10
packs,5,5
materials,103,9
students,246,8
seemed,358,6
impossible,92,10
survive,41,7
middle,193,6
blades,16,6
artificial,28,10
moonlight,21,9
consecutive,23,11
nights,47,6
month,171,5
cycles,14,6
became,251,6
synchronised,2,12
lunar,17,5
rhythm,35,6
admittedly,7,10
driven,57,6
devoutly,5,8
mercenary,7,9
ambitions,23,9
colleagues,31,10
sought,65,6
artistic,42,8
satisfaction,41,12
wherever,31,8
possible,408,8
snow,75,4
plentiful,11,9
supply,110,6
special,266,7
section,211,7
issue,169,5
want,400,4
piste,4,5
other,1854,5
words,307,5
generalist,21,10
administrator,25,13
calls,77,5
upon,499,4
economists,16,10
statisticians,12,13
etc,68,3
information,315,11
top,260,3
enough,453,6
know,783,4
worth,112,5
gina,6,4
retorted,7,8
irritated,7,9
sardonic,6,8
gleam,6,5
eyes,460,4
afraid,65,6
both,804,4
might,699,5
discover,50,8
mom,12,3
isn,99,3
dead,191,4
aren,38,4
sorp,8,4
recommends,6,10
authorities,48,11
gives,134,5
examples,61,8
accounting,34,10
commented,28,9
having,291,6
decided,151,7
again,651,5
race,127,4
tide,19,4
cumbersome,9,10
run,261,3
edge,94,4
trough,7,6
towards,71,7
breakwater,6,10
birds,69,5
pose,19,4
serious,134,7
risk,71,4
eat,71,3
north,251,5
africa,60,6
southern,149,8
europe,133,6
pain,105,4
ease,48,4
slightly,115,8
lisa,12,4
able,250,4
janet,9,5
help,381,4
coupled,21,7
conservative,48,12
government,467,10
market,184,6
philosophy,99,10
related,121,7
official,80,8
rates,119,5
goodwill,15,8
cases,172,5
derived,47,7
average,150,7
profit,48,6
margin,16,6
gallon,22,6
multiplied,11,10
daily,134,5
throughput,5,10
claims,83,6
considered,166,10
genuine,38,7
rounder,8,7
played,115,6
attacking,15,9
innings,10,7
naturally,72,9
sheltered,10,9
basin,15,5
trick,25,5
undulating,7,10
meadows,15,7
comer,9,5
offers,50,6
communication,77,13
theory,152,6
particularly,153,12
geared,7,6
african,33,7
context,43,7
prepare,56,7
destiny,24,7
german,99,6
worked,137,6
brilliant,64,9
robot,12,5
switch,50,6
stand,174,5
admire,18,6
does,557,4
hard,253,4
jess,57,4
blunt,19,5
nose,68,4
coming,189,6
samson,10,6
coiled,7,6
deal,155,4
feeling,191,7
nice,86,4
trip,99,4
bahamas,8,7
excellent,76,9
skiing,15,6
lateral,5,7
jumping,20,7
movements,51,9
calves,12,6
well,1080,4
stretched,43,9
develop,95,7
posture,21,7
balance,101,7
co,127,2
ordination,4,10
renault,6,7
scores,17,6
comfort,49,7
equipment,180,9
earlier,154,7
wheel,74,5
pit,28,3
site,88,4
demolished,9,10
rebuilt,11,7
enlarged,14,8
flanks,6,6
arrays,6,6
proprioceptors,8,14
part,566,4
act,315,3
external,54,8
arteries,24,8
harbour,12,7
coach,38,5
brad,13,4
meurant,12,7
everybody,81,9
helped,76,6
mates,13,5
marks,38,5
spencer,35,7
leapt,4,5
slot,15,4
second,443,6
glaxo,9,5
highly,100,6
explosive,25,9
eruptions,4,9
gas,113,3
charged,66,7
magma,10,5
originating,7,11
mantle,64,6
shallow,24,7
craters,11,7
maars,8,5
expected,229,8
rate,241,4
term,149,4
growth,176,6
economy,88,7
stood,239,5
outside,273,7
lifts,5,5
hospital,130,8
entrance,68,8
visitors,49,8
similar,183,7
emerges,18,7
relation,77,8
